English_City,Arabic_City,Date,Number of Transactions,Value of Transactions
JEDDAH,جدة,15 Nov - 21 Nov,9864,1162545
RIYADH,الرياض,15 Nov - 21 Nov,20811,2371005
OTHER,المدن الأخرى,15 Nov - 21 Nov,22117,1988710
HAIL,حائل,"24 Jan,21  -  30 Jan,21",1590,160719
ABHA,أبها,"24 Jan,21  -  30 Jan,21",1227,120454
MAKKAH,مكة المكرمة,"24 Jan,21  -  30 Jan,21",3332,297981
BURAIDAH,بريدة,"24 Jan,21  -  30 Jan,21",2367,238932
KHOBAR,الخبر,"24 Jan,21  -  30 Jan,21",2368,328261
MADINA,المنورة,"24 Jan,21  -  30 Jan,21",3857,351031
DAMMAM,الدمام,"24 Jan,21  -  30 Jan,21",4307,504598
JEDDAH,جدة,"24 Jan,21  -  30 Jan,21",12209,1489774
RIYADH,الرياض,"24 Jan,21  -  30 Jan,21",24228,2930775
OTHER,المدن الأخرى,"24 Jan,21  -  30 Jan,21",27794,2702006
HAIL,حائل,"30 May,21  -  05 Jun,21",1916,159940
ABHA,أبها,"30 May,21  -  05 Jun,21",2024,172205
MAKKAH,مكة المكرمة,"30 May,21  -  05 Jun,21",3932,292105
BURAIDAH,بريدة,"30 May,21  -  05 Jun,21",2718,235880
KHOBAR,الخبر,"30 May,21  -  05 Jun,21",2762,343430
MADINA,المنورة,"30 May,21  -  05 Jun,21",4570,344549
DAMMAM,الدمام,"30 May,21  -  05 Jun,21",4887,510441
JEDDAH,جدة,"30 May,21  -  05 Jun,21",14512,1532398
RIYADH,الرياض,"30 May,21  -  05 Jun,21",28048,2915268
OTHER,المدن الأخرى,"30 May,21  -  05 Jun,21",34901,2823420
HAIL,حائل,08 Nov - 14 Nov,1365,124862
ABHA,أبها,08 Nov - 14 Nov,1121,103186
MAKKAH,مكة المكرمة,08 Nov - 14 Nov,2653,219517
BURAIDAH,بريدة,08 Nov - 14 Nov,2115,197560
KHOBAR,الخبر,08 Nov - 14 Nov,2214,298970
MADINA,المنورة,08 Nov - 14 Nov,3255,266889
DAMMAM,الدمام,08 Nov - 14 Nov,3898,434742
JEDDAH,جدة,08 Nov - 14 Nov,10290,1220976
RIYADH,الرياض,08 Nov - 14 Nov,21594,2438993
OTHER,المدن الأخرى,08 Nov - 14 Nov,23298,2081534
HAIL,حائل,"04 Apr,21  -  10 Apr,21",1716,161952
ABHA,أبها,"04 Apr,21  -  10 Apr,21",1476,139430
MAKKAH,مكة المكرمة,"04 Apr,21  -  10 Apr,21",3782,330513
