English_City,Arabic_City,Date,Number of Transactions,Value of Transactions,location_latitude,location_longitude
MAKKAH,مكة المكرمة,"07 Mar,21  -  13 Mar,21",3557,280736,21.420847,39.826869
MAKKAH,مكة المكرمة,20 - 27 Jun,1694,242142,21.420847,39.826869
MAKKAH,مكة المكرمة,"08 Aug,21  -  14 Aug,21",4266,288116,21.420847,39.826869
MAKKAH,مكة المكرمة,13 Dec - 19 Dec,2726,223543,21.420847,39.826869
MAKKAH,مكة المكرمة,"28 Feb,21  -  06 Mar,21",3748,334761,21.420847,39.826869
MAKKAH,مكة المكرمة,"05 Sep,21  -  11 Sep,21",4492,291751,21.420847,39.826869
MAKKAH,مكة المكرمة,14 - 20 Jun,1465,187722,21.420847,39.826869
MAKKAH,مكة المكرمة,11 Oct - 17 Oct,2378,195717,21.420847,39.826869
MAKKAH,مكة المكرمة,"21 Mar,21  -  27 Mar,21",3330,276614,21.420847,39.826869
MAKKAH,مكة المكرمة,02 - 08 Aug,1881,169336,21.420847,39.826869
MAKKAH,مكة المكرمة,"03 Jan,21  -  09 Jan,21",3149,267391,21.420847,39.826869
MAKKAH,مكة المكرمة,"21 Feb,21  -  27 Feb,21",2979,234277,21.420847,39.826869
MAKKAH,مكة المكرمة,5 - 11 Jul,1867,182933,21.420847,39.826869
BURAIDAH,بريدة,"17 Jan,21  -  23 Jan,21",2019,195754,26.331667,43.971667
BURAIDAH,بريدة,06 Dec - 12 Dec,2198,213024,26.331667,43.971667
BURAIDAH,بريدة,"28 Mar,21  -  03 Apr,21",2775,287580,26.331667,43.971667
BURAIDAH,بريدة,"04 Jul,21  -  10 Jul,21",2726,229749,26.331667,43.971667
BURAIDAH,بريدة,"07 Feb,21  -  13 Feb,21",2204,199716,26.331667,43.971667
BURAIDAH,بريدة,"15 Aug,21  -  21 Aug,21",2517,199705,26.331667,43.971667
BURAIDAH,بريدة,"01 Aug,21  -  07 Aug,21",2707,219387,26.331667,43.971667
BURAIDAH,بريدة,09 - 15 Aug,1855,181764,26.331667,43.971667
BURAIDAH,بريدة,01 Nov - 07 Nov,2173,209890,26.331667,43.971667
BURAIDAH,بريدة,"19 Sep,21  -  25 Sep,21",2748,231291,26.331667,43.971667
BURAIDAH,بريدة,25 Oct - 31 Oct,2269,238993,26.331667,43.971667
BURAIDAH,بريدة,09 - 15 Aug,1855,181764,26.331667,43.971667
BURAIDAH,بريدة,28 Jun - 4 Jul,1995,298067,26.331667,43.971667
BURAIDAH,بريدة,"27 Dec,20  -  02 Jan,21",2582,279167,26.331667,43.971667
BURAIDAH,بريدة,"13 Jun,21  -  19 Jun,21",2508,209387,26.331667,43.971667
BURAIDAH,بريدة,"23 May,21  -  29 May,21",2606,231331,26.331667,43.971667
BURAIDAH,بريدة,20 - 26 Sep,2013,204547,26.331667,43.971667
BURAIDAH,بريدة,20 Dec - 26 Dec,2068,200603,26.331667,43.971667
BURAIDAH,بريدة,"10 Jan,21  -  16 Jan,21",2287,209997,26.331667,43.971667
BURAIDAH,بريدة,06 - 12 Sep,1979,195339,26.331667,43.971667
BURAIDAH,بريدة,"25 Apr,21  -  01 May,21",2485,265431,26.331667,43.971667
BURAIDAH,بريدة,"29 Aug,21  -  04 Sep,21",2900,247538,26.331667,43.971667
BURAIDAH,بريدة,18 Oct - 24 Oct,1929,181097,26.331667,43.971667
BURAIDAH,بريدة,"14 Mar,21  -  20 Mar,21",2406,224828,26.331667,43.971667
BURAIDAH,بريدة,"11 Apr,21  -  17 Apr,21",2256,211830,26.331667,43.971667
BURAIDAH,بريدة,"31 Jan,21  -  06 Feb,21",2292,215345,26.331667,43.971667
BURAIDAH,بريدة,"03 Oct,21  -  09 Oct,21",2926,228177,26.331667,43.971667
BURAIDAH,بريدة,22 Nov - 28 Nov,2182,216823,26.331667,43.971667
BURAIDAH,بريدة,"26 Sep,21  -  02 Oct,21",3078,274135,26.331667,43.971667
BURAIDAH,بريدة,"22 Aug,21  -  28 Aug,21",2871,251843,26.331667,43.971667
BURAIDAH,بريدة,7 - 13 Jun,1621,229106,26.331667,43.971667
BURAIDAH,بريدة,13 - 19 Sep,1904,181314,26.331667,43.971667
BURAIDAH,بريدة,"20 Jun,21  -  26 Jun,21",2516,210476,26.331667,43.971667
BURAIDAH,بريدة,"14 Feb,21  -  20 Feb,21",2125,191101,26.331667,43.971667
BURAIDAH,بريدة,"06 Jun,21  -  12 Jun,21",2645,222669,26.331667,43.971667
BURAIDAH,بريدة,12 - 18 Jul,1786,175800,26.331667,43.971667
BURAIDAH,بريدة,15 Nov - 21 Nov,2032,194127,26.331667,43.971667
BURAIDAH,بريدة,"24 Jan,21  -  30 Jan,21",2367,238932,26.331667,43.971667
BURAIDAH,بريدة,"30 May,21  -  05 Jun,21",2718,235880,26.331667,43.971667
BURAIDAH,بريدة,08 Nov - 14 Nov,2115,197560,26.331667,43.971667
BURAIDAH,بريدة,"04 Apr,21  -  10 Apr,21",2643,256216,26.331667,43.971667
BURAIDAH,بريدة,19 - 25 Jul,1836,188444,26.331667,43.971667
BURAIDAH,بريدة,"16 May,21  -  22 May,21",2347,190317,26.331667,43.971667
BURAIDAH,بريدة,31 May - 6 Jun,1655,240009,26.331667,43.971667
BURAIDAH,بريدة,"09 May,21  -  15 May,21",2544,213280,26.331667,43.971667
BURAIDAH,بريدة,"18 Apr,21  -  24 Apr,21",1979,184611,26.331667,43.971667
BURAIDAH,بريدة,"25 Jul,21  -  31 Jul,21",2847,244250,26.331667,43.971667
BURAIDAH,بريدة,04 - 10 Oct,2057,196093,26.331667,43.971667
BURAIDAH,بريدة,30 Aug - 05 Sep,2057,218578,26.331667,43.971667
BURAIDAH,بريدة,27 Sep - 03 Oct,2220,234596,26.331667,43.971667
BURAIDAH,بريدة,23 - 29 Aug,1944,209101,26.331667,43.971667
BURAIDAH,بريدة,"27 Jun,21  -  03 Jul,21",2899,260528,26.331667,43.971667
BURAIDAH,بريدة,"18 Jul,21  -  24 Jul,21",2428,160822,26.331667,43.971667
BURAIDAH,بريدة,29 Nov - 05 Dec,2327,232111,26.331667,43.971667
BURAIDAH,بريدة,26 Jul - 1 Aug,2232,224500,26.331667,43.971667
BURAIDAH,بريدة,"07 Mar,21  -  13 Mar,21",2436,225378,26.331667,43.971667
BURAIDAH,بريدة,20 - 27 Jun,1769,274524,26.331667,43.971667
BURAIDAH,بريدة,"08 Aug,21  -  14 Aug,21",2640,214288,26.331667,43.971667
BURAIDAH,بريدة,13 Dec - 19 Dec,2086,195189,26.331667,43.971667
BURAIDAH,بريدة,"28 Feb,21  -  06 Mar,21",2541,255300,26.331667,43.971667
BURAIDAH,بريدة,"05 Sep,21  -  11 Sep,21",2848,228164,26.331667,43.971667
BURAIDAH,بريدة,14 - 20 Jun,1557,223173,26.331667,43.971667
BURAIDAH,بريدة,11 Oct - 17 Oct,2012,186292,26.331667,43.971667
BURAIDAH,بريدة,"21 Mar,21  -  27 Mar,21",2433,234710,26.331667,43.971667
BURAIDAH,بريدة,02 - 08 Aug,1842,168020,26.331667,43.971667
BURAIDAH,بريدة,"03 Jan,21  -  09 Jan,21",2323,216659,26.331667,43.971667
BURAIDAH,بريدة,"21 Feb,21  -  27 Feb,21",2069,189857,26.331667,43.971667
BURAIDAH,بريدة,5 - 11 Jul,1850,180724,26.331667,43.971667
KHOBAR,الخبر,"17 Jan,21  -  23 Jan,21",2121,284218,26.3039999,50.1960237
KHOBAR,الخبر,06 Dec - 12 Dec,2260,299274,26.3039999,50.1960237
KHOBAR,الخبر,"28 Mar,21  -  03 Apr,21",2742,393912,26.3039999,50.1960237
KHOBAR,الخبر,"04 Jul,21  -  10 Jul,21",2625,317874,26.3039999,50.1960237
KHOBAR,الخبر,"07 Feb,21  -  13 Feb,21",2045,258422,26.3039999,50.1960237
KHOBAR,الخبر,"15 Aug,21  -  21 Aug,21",2397,272286,26.3039999,50.1960237
KHOBAR,الخبر,"01 Aug,21  -  07 Aug,21",2568,294511,26.3039999,50.1960237
KHOBAR,الخبر,09 - 15 Aug,1808,252243,26.3039999,50.1960237
KHOBAR,الخبر,01 Nov - 07 Nov,2282,319349,26.3039999,50.1960237
KHOBAR,الخبر,"19 Sep,21  -  25 Sep,21",2732,315664,26.3039999,50.1960237
KHOBAR,الخبر,25 Oct - 31 Oct,2276,343861,26.3039999,50.1960237
KHOBAR,الخبر,09 - 15 Aug,1808,252243,26.3039999,50.1960237
KHOBAR,الخبر,28 Jun - 4 Jul,1816,370443,26.3039999,50.1960237
KHOBAR,الخبر,"27 Dec,20  -  02 Jan,21",2567,400574,26.3039999,50.1960237
KHOBAR,الخبر,"13 Jun,21  -  19 Jun,21",2401,285693,26.3039999,50.1960237
KHOBAR,الخبر,"23 May,21  -  29 May,21",2561,322058,26.3039999,50.1960237
KHOBAR,الخبر,20 - 26 Sep,2123,312360,26.3039999,50.1960237
KHOBAR,الخبر,20 Dec - 26 Dec,2108,286353,26.3039999,50.1960237
KHOBAR,الخبر,"10 Jan,21  -  16 Jan,21",2375,317989,26.3039999,50.1960237
KHOBAR,الخبر,06 - 12 Sep,2021,275089,26.3039999,50.1960237
KHOBAR,الخبر,"25 Apr,21  -  01 May,21",2189,330554,26.3039999,50.1960237
KHOBAR,الخبر,"29 Aug,21  -  04 Sep,21",2786,343680,26.3039999,50.1960237
KHOBAR,الخبر,18 Oct - 24 Oct,1975,260668,26.3039999,50.1960237
KHOBAR,الخبر,"14 Mar,21  -  20 Mar,21",2388,305270,26.3039999,50.1960237
KHOBAR,الخبر,"11 Apr,21  -  17 Apr,21",2016,258369,26.3039999,50.1960237
KHOBAR,الخبر,"31 Jan,21  -  06 Feb,21",2275,302971,26.3039999,50.1960237
KHOBAR,الخبر,"03 Oct,21  -  09 Oct,21",2811,296849,26.3039999,50.1960237
KHOBAR,الخبر,22 Nov - 28 Nov,2292,329427,26.3039999,50.1960237
KHOBAR,الخبر,"26 Sep,21  -  02 Oct,21",2893,349569,26.3039999,50.1960237
KHOBAR,الخبر,"22 Aug,21  -  28 Aug,21",2692,352381,26.3039999,50.1960237
KHOBAR,الخبر,7 - 13 Jun,1326,263489,26.3039999,50.1960237
KHOBAR,الخبر,13 - 19 Sep,1943,266330,26.3039999,50.1960237
KHOBAR,الخبر,"20 Jun,21  -  26 Jun,21",2425,292242,26.3039999,50.1960237
KHOBAR,الخبر,"14 Feb,21  -  20 Feb,21",2017,248689,26.3039999,50.1960237
KHOBAR,الخبر,"06 Jun,21  -  12 Jun,21",2603,309513,26.3039999,50.1960237
KHOBAR,الخبر,12 - 18 Jul,1689,239828,26.3039999,50.1960237
KHOBAR,الخبر,15 Nov - 21 Nov,2136,288220,26.3039999,50.1960237
KHOBAR,الخبر,"24 Jan,21  -  30 Jan,21",2368,328261,26.3039999,50.1960237
KHOBAR,الخبر,"30 May,21  -  05 Jun,21",2762,343430,26.3039999,50.1960237
