English_Sector,Arabic_Sector,Date,Number of Transactions,Value of Transactions
Construction & Building Materials,مواد التشييد والبناء,2020-08-15,632,328879.0
Education,التعليم,2020-08-15,37,74852.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-08-15,567,241903.0
Gas,محطات الوقود,2020-08-15,5656,272841.0
Health,الصحة,2020-08-15,4809,637303.0
Furniture,الأثاث,2020-08-15,584,259073.0
Hotels,الفنادق,2020-08-15,382,149120.0
Public Utilities,المنافع العامة,2020-08-15,581,66517.0
Jewelry,المجوهرات,2020-08-15,141,158556.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-08-15,1945,520198.0
Recreation and Culture,الترفية والثقافة,2020-08-15,1078,202006.0
Restaurants & Café,المطاعم والمقاهي,2020-08-15,17460,899832.0
Beverage and Food,الأطعمة والمشروبات,2020-08-15,16672,1093352.0
Telecommunication,الاتصالات,2020-08-15,216,49622.0
Transportation,المواصلات,2020-08-15,905,402451.0
Other,أخرى,2020-08-15,6769,903445.0
Total,الإجمالي,2020-08-15,61057,6738169.0
Clothing and Footwear,الملابس والأحذية,2021-11-13,4122,707414.0
Construction & Building Materials,مواد التشييد والبناء,2021-11-13,1035,377291.0
Education,التعليم,2021-11-13,107,85218.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-11-13,785,308525.0
Gas,محطات الوقود,2021-11-13,10488,603183.0
Health,الصحة,2021-11-13,6177,678489.0
Furniture,الأثاث,2021-11-13,875,315177.0
Hotels,الفنادق,2021-11-13,473,163160.0
Public Utilities,المنافع العامة,2021-11-13,968,80577.0
Jewelry,المجوهرات,2021-11-13,177,183387.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-11-13,11780,881633.0
Recreation and Culture,الترفية والثقافة,2021-11-13,1861,243580.0
Restaurants & Café,المطاعم والمقاهي,2021-11-13,33730,1316713.0
Beverage and Food,الأطعمة والمشروبات,2021-11-13,27663,1361501.0
Telecommunication,الاتصالات,2021-11-13,410,97359.0
Transportation,المواصلات,2021-11-13,1592,507312.0
Other,أخرى,2021-11-13,13236,1263238.0
Total,الإجمالي,2021-11-13,115481,9173759.0
Clothing and Footwear,الملابس والأحذية,2020-11-07,3700,697533.0
Construction & Building Materials,مواد التشييد والبناء,2020-11-07,765,378598.0
Education,التعليم,2020-11-07,49,69042.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-11-07,783,384714.0
Gas,محطات الوقود,2020-11-07,6472,313896.0
Health,الصحة,2020-11-07,5051,651560.0
Furniture,الأثاث,2020-11-07,751,328556.0
Hotels,الفنادق,2020-11-07,405,145742.0
Public Utilities,المنافع العامة,2020-11-07,552,68706.0
Jewelry,المجوهرات,2020-11-07,179,212215.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-11-07,3446,655517.0
Recreation and Culture,الترفية والثقافة,2020-11-07,1447,253854.0
Restaurants & Café,المطاعم والمقاهي,2020-11-07,21756,1060760.0
Beverage and Food,الأطعمة والمشروبات,2020-11-07,19434,1258059.0
Telecommunication,الاتصالات,2020-11-07,261,63607.0
Transportation,المواصلات,2020-11-07,1051,428322.0
Other,أخرى,2020-11-07,8766,1106814.0
Total,الإجمالي,2020-11-07,74869,8077497.0
Clothing and Footwear,الملابس والأحذية,2021-09-25,4016,635716.0
Construction & Building Materials,مواد التشييد والبناء,2021-09-25,828,349795.0
Education,التعليم,2021-09-25,79,62776.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-09-25,658,293569.0
Gas,محطات الوقود,2021-09-25,9885,563814.0
Health,الصحة,2021-09-25,5266,693127.0
Furniture,الأثاث,2021-09-25,896,416163.0
Hotels,الفنادق,2021-09-25,545,195257.0
Public Utilities,المنافع العامة,2021-09-25,868,78543.0
Jewelry,المجوهرات,2021-09-25,196,197281.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-09-25,9769,837544.0
Recreation and Culture,الترفية والثقافة,2021-09-25,1776,265626.0
Restaurants & Café,المطاعم والمقاهي,2021-09-25,29817,1245476.0
Beverage and Food,الأطعمة والمشروبات,2021-09-25,25037,1212293.0
Telecommunication,الاتصالات,2021-09-25,352,84024.0
Transportation,المواصلات,2021-09-25,1321,456133.0
Other,أخرى,2021-09-25,12318,1264877.0
Total,الإجمالي,2021-09-25,103627,8852013.0
Construction & Building Materials,مواد التشييد والبناء,2020-10-31,785,384660.0
Education,التعليم,2020-10-31,50,83092.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-10-31,814,400477.0
Gas,محطات الوقود,2020-10-31,6638,336453.0
Health,الصحة,2020-10-31,5366,737202.0
Furniture,الأثاث,2020-10-31,814,357276.0
Hotels,الفنادق,2020-10-31,417,152971.0
Public Utilities,المنافع العامة,2020-10-31,584,73866.0
Jewelry,المجوهرات,2020-10-31,196,225587.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-10-31,3517,723317.0
Recreation and Culture,الترفية والثقافة,2020-10-31,1577,296556.0
Restaurants & Café,المطاعم والمقاهي,2020-10-31,22077,1128994.0
Beverage and Food,الأطعمة والمشروبات,2020-10-31,20120,1553257.0
Telecommunication,الاتصالات,2020-10-31,287,73207.0
Transportation,المواصلات,2020-10-31,1168,536176.0
Other,أخرى,2020-10-31,9212,1294675.0
Total,الإجمالي,2020-10-31,77718,9149055.0
Clothing and Footwear,الملابس والأحذية,2020-07-04,3885,815622.0
Construction & Building Materials,مواد التشييد والبناء,2020-07-04,812,687510.0
Education,التعليم,2020-07-04,42,115682.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-07-04,785,544843.0
Gas,محطات الوقود,2020-07-04,4819,211486.0
Health,الصحة,2020-07-04,5494,807721.0
Furniture,الأثاث,2020-07-04,870,601004.0
Hotels,الفنادق,2020-07-04,290,110620.0
Public Utilities,المنافع العامة,2020-07-04,548,106130.0
Jewelry,المجوهرات,2020-07-04,331,636993.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-07-04,2000,842753.0
Recreation and Culture,الترفية والثقافة,2020-07-04,1334,342110.0
Restaurants & Café,المطاعم والمقاهي,2020-07-04,16307,901167.0
Beverage and Food,الأطعمة والمشروبات,2020-07-04,16682,1526675.0
Telecommunication,الاتصالات,2020-07-04,298,102362.0
Transportation,المواصلات,2020-07-04,1087,602763.0
Other,أخرى,2020-07-04,7227,1511624.0
Total,الإجمالي,2020-07-04,62811,10467067.0
Clothing and Footwear,الملابس والأحذية,2021-01-02,6178,1119407.0
Construction & Building Materials,مواد التشييد والبناء,2021-01-02,879,434619.0
Education,التعليم,2021-01-02,63,153550.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-01-02,769,335448.0
Gas,محطات الوقود,2021-01-02,7513,388909.0
Health,الصحة,2021-01-02,5799,800505.0
Furniture,الأثاث,2021-01-02,1107,483964.0
Hotels,الفنادق,2021-01-02,554,242231.0
Public Utilities,المنافع العامة,2021-01-02,636,76980.0
Jewelry,المجوهرات,2021-01-02,286,337288.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-01-02,5594,921938.0
Recreation and Culture,الترفية والثقافة,2021-01-02,1893,407423.0
Restaurants & Café,المطاعم والمقاهي,2021-01-02,25872,1360377.0
